time,open,high,low,close,volumn
2018-05-10 04:00:00,745.11,750.0,743.96,749.0,3088.98264
2018-05-10 05:00:00,749.0,755.5,748.69,750.91,3403.40998
2018-05-10 06:00:00,750.91,752.85,747.0,751.75,2096.03096
2018-05-10 07:00:00,752.4,758.59,751.45,753.33,3376.25252
2018-05-10 08:00:00,753.33,759.98,753.0,756.0,2831.95416
2018-05-10 09:00:00,756.01,758.0,751.0,757.42,2143.14289
2018-05-10 10:00:00,758.0,759.36,753.88,757.19,2772.23159
2018-05-10 11:00:00,757.01,765.81,756.23,764.96,5068.09199
2018-05-10 12:00:00,764.9,769.88,758.0,759.9,6559.70969
2018-05-10 13:00:00,758.12,763.72,753.15,757.08,4473.00317
2018-05-10 14:00:00,757.15,766.58,756.0,764.0,4008.646
2018-05-10 15:00:00,763.3,766.89,761.0,763.5,3235.42145
2018-05-10 16:00:00,763.05,765.5,760.85,764.78,2325.23255
2018-05-10 17:00:00,764.98,766.65,759.5,765.08,2382.17932
2018-05-10 18:00:00,765.46,765.5,758.0,760.84,2558.26916
2018-05-10 19:00:00,760.83,764.2,757.2,762.78,2322.13587
2018-05-10 20:00:00,762.74,766.93,761.13,766.0,5946.2395
2018-05-10 21:00:00,766.0,766.0,757.9,759.16,3003.52504
2018-05-10 22:00:00,760.33,763.82,758.0,762.33,2186.74854
2018-05-10 23:00:00,762.98,765.6,762.0,763.7,2318.20537
2018-05-11 00:00:00,763.7,764.7,736.07,741.99,16080.56571
2018-05-11 01:00:00,742.0,745.77,733.33,741.61,7303.15535
2018-05-11 02:00:00,741.97,743.0,735.0,737.6,3588.25247
2018-05-11 03:00:00,736.89,738.75,731.59,737.77,4054.17976
2018-05-11 04:00:00,737.77,742.0,734.87,736.48,2609.61058
2018-05-11 05:00:00,736.48,737.65,730.01,733.94,3387.33799
2018-05-11 06:00:00,733.07,733.93,720.0,722.52,7485.20866
2018-05-11 07:00:00,722.52,727.72,714.79,726.6,10627.62523
2018-05-11 08:00:00,726.6,731.69,722.1,727.7,4831.10258
2018-05-11 09:00:00,727.7,732.12,723.48,724.29,3397.39665
2018-05-11 10:00:00,724.27,732.5,721.79,730.0,4102.58452
2018-05-11 11:00:00,730.0,736.5,729.86,733.88,3156.66018
2018-05-11 12:00:00,733.88,737.23,732.24,736.8,2534.28158
2018-05-11 13:00:00,736.8,736.98,711.66,712.0,7687.59891
2018-05-11 14:00:00,712.0,718.33,683.0,692.53,30934.2983
2018-05-11 15:00:00,692.53,713.0,689.41,700.2,16843.3746
2018-05-11 16:00:00,700.33,701.04,679.86,692.75,10995.54478
2018-05-11 17:00:00,692.23,697.43,686.15,689.57,9245.13208
2018-05-11 18:00:00,689.57,691.17,676.19,678.0,10365.40702
2018-05-11 19:00:00,677.6,682.5,666.73,677.1,17469.62071
2018-05-11 20:00:00,677.0,684.06,668.0,668.0,12481.74447
2018-05-11 21:00:00,668.0,690.58,667.4,687.94,15413.30441
2018-05-11 22:00:00,687.94,690.0,675.0,682.2,9939.07922
2018-05-11 23:00:00,681.43,692.3,678.78,689.39,7908.20274
